,bill_id,cosponsor_flg,amendments_flg,popular_flg,related_bills_flg,party_flg,majority_flg,Class
7896,s3162-110,0,0,0,0,0,1,0
7897,s3341-110,1,0,0,0,0,1,1
7898,s342-110,1,0,0,1,0,1,0
7899,s343-110,1,0,0,1,0,1,1
7900,s3443-110,1,0,0,0,0,1,0
7901,s3469-110,1,0,0,0,0,1,0
7902,s347-110,1,0,1,1,0,1,0
7903,s3498-110,1,0,0,1,0,1,0
7904,s3661-110,1,0,0,0,0,1,0
7905,s3669-110,0,0,0,1,0,1,0
7906,s457-110,1,0,0,0,0,1,1
7907,s496-110,1,0,0,1,0,1,1
7908,s547-110,1,0,0,0,0,1,1
7909,s653-110,1,0,0,1,0,1,0
7910,s817-110,1,0,0,1,0,1,1
7911,s914-110,1,0,0,0,0,1,0
7912,s2022-110,1,0,0,1,1,1,0
7913,s2100-110,1,0,0,0,1,1,0
7914,s2119-110,1,0,0,1,1,1,0
7915,s2141-110,1,0,0,1,1,1,0
7916,s2154-110,1,0,0,1,1,1,0
7917,s2176-110,1,0,0,0,1,1,0
7918,s2252-110,1,0,0,0,1,1,0
7919,s2269-110,1,0,0,1,1,1,0
7920,s2342-110,0,0,0,1,1,1,0
7921,s2352-110,1,0,0,1,1,1,0
7922,s2367-110,1,0,0,1,1,1,0
7923,s2489-110,1,0,0,1,1,1,1
7924,s2501-110,1,0,0,1,1,1,0
7925,s2520-110,1,0,0,1,1,1,0
7926,s2639-110,1,0,0,1,1,1,0
7927,s2670-110,1,0,0,0,1,1,0
7928,s2747-110,1,0,0,1,1,1,0
7929,s3238-110,1,0,0,1,1,1,0
7930,s3265-110,0,0,0,0,1,1,0
7931,s3301-110,0,0,0,1,1,1,1
7932,s3630-110,1,0,0,1,1,1,0
7933,s2208-110,1,0,0,1,0,1,0
7934,s2834-110,1,0,0,0,0,1,0
7935,s390-110,1,0,0,1,0,1,1
7936,s1005-110,1,0,0,1,1,1,0
7937,s1006-110,0,0,0,1,1,1,0
7938,s102-110,0,0,0,1,1,1,0
7939,s103-110,1,0,0,1,1,1,0
7940,s1187-110,0,0,0,0,1,1,0
7941,s1197-110,1,0,0,0,1,1,0
7942,s1214-110,1,0,0,1,1,1,0
7943,s1221-110,0,0,0,0,1,1,0
7944,s1227-110,0,0,0,0,1,1,0
7945,s1243-110,1,0,0,1,1,1,0
7946,s1256-110,1,0,0,0,1,1,1
7947,s1298-110,1,0,0,0,1,1,0
7948,s1311-110,1,0,0,1,1,1,0
7949,s1333-110,0,0,0,1,1,1,0
7950,s1337-110,1,0,0,0,1,1,0
7951,s1365-110,1,0,0,1,1,1,1
7952,s1406-110,1,0,0,1,1,1,0
7953,s163-110,1,1,0,1,1,1,1
7954,s1631-110,1,0,0,0,1,1,0
7955,s1650-110,1,0,0,1,1,1,1
7956,s1657-110,1,0,0,1,1,1,0
7957,s1662-110,1,0,0,1,1,1,1
7958,s1663-110,1,0,0,1,1,1,1
7959,s1671-110,1,0,0,0,1,1,1
7960,s1714-110,1,0,0,0,1,1,0
7961,s1761-110,1,0,0,0,1,1,0
7962,s1784-110,1,1,0,1,1,1,1
7963,s1880-110,1,0,0,1,1,1,0
7964,s1922-110,1,0,0,1,1,1,0
7965,s196-110,1,0,0,1,1,1,0
7966,s1971-110,1,0,0,1,1,1,0
7967,s1999-110,1,0,0,1,1,1,0
7968,s2046-110,0,0,0,0,1,1,0
7969,s2074-110,0,0,0,1,1,1,0
7970,s2178-110,1,0,0,0,1,1,0
7971,s2199-110,0,0,0,1,1,1,0
7972,s2300-110,1,0,0,0,1,1,1
7973,s2307-110,1,0,0,0,1,1,1
7974,s2323-110,1,0,0,0,1,1,0
7975,s234-110,1,0,0,1,1,1,0
7976,s2389-110,1,0,0,1,1,1,0
7977,s2408-110,1,0,0,1,1,1,0
7978,s2486-110,1,0,0,1,1,1,0
7979,s2523-110,1,0,0,0,1,1,0
7980,s2553-110,1,0,0,1,1,1,0
7981,s2560-110,1,0,0,1,1,1,0
7982,s2568-110,1,0,0,1,1,1,0
7983,s2612-110,0,0,0,0,1,1,0
7984,s2657-110,1,0,0,1,1,1,1
7985,s2658-110,0,0,0,1,1,1,0
7986,s2668-110,1,0,0,1,1,1,0
7987,s2764-110,1,0,0,0,1,1,0
7988,s2775-110,1,0,0,1,1,1,0
7989,s2847-110,0,0,0,1,1,1,0
7990,s288-110,1,0,0,1,1,1,0
7991,s2920-110,1,0,0,0,1,1,1
7992,s2979-110,1,0,0,1,1,1,1
7993,s2990-110,1,0,0,1,1,1,0
7994,s3016-110,1,0,0,1,1,1,0
7995,s3026-110,1,0,0,1,1,1,0
7996,s3029-110,1,0,0,1,1,1,1
7997,s3034-110,1,0,0,1,1,1,0
7998,s3081-110,0,0,0,0,1,1,0
7999,s3097-110,1,0,0,0,1,1,1
8000,s3099-110,1,0,0,1,1,1,0
8001,s3108-110,1,0,0,1,1,1,0
8002,s3184-110,0,0,0,0,1,1,0
8003,s3200-110,1,0,0,0,1,1,0
8004,s3204-110,1,0,0,1,1,1,0
8005,s3223-110,1,0,0,1,1,1,0
8006,s3231-110,0,0,0,1,1,1,0
8007,s3274-110,1,0,0,1,1,1,0
8008,s3292-110,1,0,0,1,1,1,0
8009,s3327-110,1,0,0,1,1,1,0
8010,s3362-110,1,0,0,0,1,1,1
8011,s3379-110,1,0,0,1,1,1,0
8012,s341-110,0,0,0,1,1,1,0
8013,s3426-110,1,0,0,0,1,1,1
8014,s3576-110,1,0,0,1,1,1,0
8015,s3596-110,1,0,0,0,1,1,0
8016,s3628-110,0,0,0,0,1,1,0
8017,s3675-110,0,0,0,0,1,1,0
8018,s3700-110,1,0,0,0,1,1,0
8019,s455-110,1,0,0,1,1,1,0
8020,s485-110,1,0,0,0,1,1,0
8021,s598-110,1,0,0,0,1,1,0
8022,s679-110,0,0,0,0,1,1,0
8023,s827-110,1,0,0,1,1,1,1
8024,s889-110,0,0,0,0,1,1,0
8025,s923-110,1,0,0,1,1,1,0
8026,s95-110,1,0,0,1,1,1,0
8027,s96-110,0,0,0,0,1,1,0
8028,s97-110,0,0,0,0,1,1,0
8029,s98-110,1,0,0,1,1,1,0
8030,s99-110,0,0,0,0,1,1,0
8031,s1093-110,1,0,0,0,1,1,0
8032,s1118-110,1,0,0,0,1,1,0
8033,s1155-110,1,0,0,1,1,1,0
8034,s1200-110,1,1,0,1,1,1,1
8035,s1208-110,0,0,0,1,1,1,0
8036,s1268-110,1,0,0,0,1,1,0
